geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
14000US17031010702,"Census Tract 107.02, Cook, IL",5014,1071,3612,960,1215,204,2041,975,0,17,212,140,0,17,33,50,111,99,0,17,111,99,1402,726,439,295,0,17,50,83,3,6,0,17,468,422,442,555,442,555,0,17
14000US17031020100,"Census Tract 201, Cook, IL",3972,582,2720,560,918,198,1335,403,0,12,194,106,0,12,0,12,273,248,11,21,262,247,1252,383,456,209,24,37,0,12,0,12,0,12,748,377,24,38,24,38,0,12
14000US17031020200,"Census Tract 202, Cook, IL",7159,979,5299,530,3015,516,636,202,0,17,1175,438,0,17,0,17,473,329,319,279,154,164,1860,1011,437,370,0,17,0,17,0,17,0,17,585,467,838,723,838,723,0,17
14000US17031020301,"Census Tract 203.01, Cook, IL",5303,671,4978,658,4073,677,150,105,18,22,486,175,0,17,74,89,177,155,9,14,168,154,325,257,206,246,13,21,0,17,0,17,0,17,80,73,26,25,15,18,11,16
14000US17031020302,"Census Tract 203.02, Cook, IL",5348,1045,4663,1020,3560,1040,352,149,0,17,605,159,0,17,0,17,146,91,0,17,146,91,685,176,204,129,122,153,41,95,0,17,0,17,263,307,55,80,10,13,45,79
14000US17031020400,"Census Tract 204, Cook, IL",4115,598,2829,359,1434,225,839,342,0,12,414,156,0,12,0,12,142,65,0,12,142,65,1286,488,502,319,55,84,15,22,93,144,0,12,303,180,318,432,318,432,0,12
14000US17031020500,"Census Tract 205, Cook, IL",6560,1258,4981,930,1183,326,949,412,12,21,2519,856,0,17,22,35,296,208,87,101,209,184,1579,987,966,940,0,17,0,17,0,17,0,17,613,419,0,17,0,17,0,17
14000US17031020601,"Census Tract 206.01, Cook, IL",5937,870,5687,840,3675,735,238,240,0,17,1330,722,2,5,78,83,364,402,10,18,354,403,250,193,175,184,0,17,0,17,0,17,0,17,34,54,41,51,21,31,20,29
14000US17031020602,"Census Tract 206.02, Cook, IL",5823,1379,4358,1360,2430,1120,494,299,0,17,1279,726,0,17,36,38,119,85,0,17,119,85,1465,520,304,361,0,17,0,17,0,17,0,17,1092,467,69,108,69,108,0,17
14000US17031020701,"Census Tract 207.01, Cook, IL",1728,208,1485,217,1161,233,140,84,8,12,139,73,0,12,0,12,37,30,0,12,37,30,243,117,92,81,14,22,0,12,0,12,0,12,68,72,69,44,38,30,31,38
14000US17031020702,"Census Tract 207.02, Cook, IL",8659,2085,6248,1993,3729,1713,202,123,0,17,2194,894,0,17,29,46,94,100,59,79,35,56,2411,832,1433,919,0,17,237,300,0,17,0,17,345,257,396,359,396,359,0,17
14000US17031020801,"Census Tract 208.01, Cook, IL",6025,1092,4392,1017,2366,457,916,950,0,17,907,324,0,17,0,17,203,253,0,17,203,253,1633,546,938,362,0,17,0,17,0,17,14,23,214,219,467,468,456,466,11,17
14000US17031020802,"Census Tract 208.02, Cook, IL",8514,1582,6063,1373,2003,863,463,307,153,222,2700,809,0,17,0,17,744,697,131,152,613,667,2451,845,1007,714,0,17,173,275,0,17,0,17,1271,558,0,17,0,17,0,17
14000US17031020901,"Census Tract 209.01, Cook, IL",6237,838,4698,805,1342,463,1592,515,0,17,1469,490,0,17,29,46,266,236,26,41,240,232,1539,555,850,438,67,106,0,17,0,17,0,17,159,149,463,356,455,355,8,12
14000US17031020902,"Census Tract 209.02, Cook, IL",4517,597,3766,574,1507,392,822,371,0,12,1363,300,0,12,0,12,74,72,0,12,74,72,751,305,429,258,27,41,0,12,22,36,0,12,129,107,144,124,144,124,0,12
